PID,Process,RiskScore,RiskLevel,Confidence,EvidenceCount,PrimaryTechnique,Indicators,IndicatorsFull
4512,powershell.exe,100,CRITICAL,High — Three independent evidence sources,3,T1562.001,AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell,"[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 20pts] Suspicious cmdline pattern(s): powershell: Command line matched detection signatures: powershell"
1676,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,5,T1562.001,"AMSI DLL replaced from staging path; Execution from staging/non-standard path; 6× PAGE_EXECUTE_READWRITE memory regions; Cmdline staging path pattern(s): powershell, -ExecutionPolicy bypass, -noprofile, \temp\; Spawned by high-risk parent (PID 10128, score 100)","[ 85pts] AMSI DLL replaced from staging path: HIGHEST CONFIDENCE T1562.001+T1574.001: amsi.dll from staging path, Volatility cannot dump file — replaced DLL confirmed. ACPO P2: two independent sources corroborate (dlllist path + file undumpable).
[ 70pts] Execution from staging/non-standard path: Process cmdline references staging directory: ...e c:\\temp\\mff_multi\\case05_rwx_amsi.ps1  ... T1574.001 — Windows loads DLLs from executable directory first, enabling attacker DLL substitution.
[ 55pts] 6× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 6 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 40pts] Cmdline staging path pattern(s): powershell, -ExecutionPolicy bypass, -noprofile, \temp\: Command line arguments contain staging directory reference. Matched patterns: powershell, -ExecutionPolicy bypass, -noprofile, \temp\
[ 25pts] Spawned by high-risk parent (PID 10128, score 100): Process chain: this process was created by PID 10128 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution."
260,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,5,T1562.001,"AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell, -ExecutionPolicy bypass, -noprofile, start-sleep; Chained reconnaissance: 8 discovery techniques; Spawned by high-risk parent (PID 10128, score 100)","[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 30pts] Chained reconnaissance: 8 discovery techniques: Multiple discovery techniques in single session indicates adversarial post-compromise reconnaissance. Matched: systeminfo, get-computerinfo, ipconfig, get-netipaddress, whoami. Maps to T1082/T1016/T1033/T1057.
[ 25pts] Spawned by high-risk parent (PID 10128, score 100): Process chain: this process was created by PID 10128 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution.
[ 20pts] Suspicious cmdline pattern(s): powershell, -ExecutionPolicy bypass, -noprofile, start-sleep: Command line matched detection signatures: powershell, -ExecutionPolicy bypass, -noprofile, start-sleep"
9508,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,4,T1562.001,"AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell, -ExecutionPolicy bypass, -enc , -noprofile; Spawned by high-risk parent (PID 10128, score 100)","[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 25pts] Spawned by high-risk parent (PID 10128, score 100): Process chain: this process was created by PID 10128 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution.
[ 20pts] Suspicious cmdline pattern(s): powershell, -ExecutionPolicy bypass, -enc , -noprofile: Command line matched detection signatures: powershell, -ExecutionPolicy bypass, -enc , -noprofile"
3092,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,5,T1562.001,"AMSI DLL replaced from staging path; Execution from staging/non-standard path; 6× PAGE_EXECUTE_READWRITE memory regions; Cmdline staging path pattern(s): powershell, -ExecutionPolicy bypass, -noprofile, \temp\; Spawned by high-risk parent (PID 10128, score 100)","[ 85pts] AMSI DLL replaced from staging path: HIGHEST CONFIDENCE T1562.001+T1574.001: amsi.dll from staging path, Volatility cannot dump file — replaced DLL confirmed. ACPO P2: two independent sources corroborate (dlllist path + file undumpable).
[ 70pts] Execution from staging/non-standard path: Process cmdline references staging directory: ...e c:\\temp\\mff_multi\\case05_rwx_amsi.ps1  ... T1574.001 — Windows loads DLLs from executable directory first, enabling attacker DLL substitution.
[ 55pts] 6× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 6 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 40pts] Cmdline staging path pattern(s): powershell, -ExecutionPolicy bypass, -noprofile, \temp\: Command line arguments contain staging directory reference. Matched patterns: powershell, -ExecutionPolicy bypass, -noprofile, \temp\
[ 25pts] Spawned by high-risk parent (PID 10128, score 100): Process chain: this process was created by PID 10128 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution."
3448,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,4,T1562.001,"AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell, -ExecutionPolicy bypass, -enc , -noprofile; Spawned by high-risk parent (PID 10128, score 100)","[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 25pts] Spawned by high-risk parent (PID 10128, score 100): Process chain: this process was created by PID 10128 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution.
[ 20pts] Suspicious cmdline pattern(s): powershell, -ExecutionPolicy bypass, -enc , -noprofile: Command line matched detection signatures: powershell, -ExecutionPolicy bypass, -enc , -noprofile"
10128,powershell.exe,100,CRITICAL,High — Three independent evidence sources,3,T1562.001,AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell,"[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 20pts] Suspicious cmdline pattern(s): powershell: Command line matched detection signatures: powershell"
2824,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,5,T1574.001,"AMSI bypass via memory patching; Execution from staging/non-standard path; 5× PAGE_EXECUTE_READWRITE memory regions; Cmdline staging path pattern(s): powershell, \temp\; Spawned by high-risk parent (PID 4512, score 100)","[ 70pts] Execution from staging/non-standard path: Process cmdline references staging directory: ...c:\\temp\\multiattack\\powershell.exe c:\... T1574.001 — Windows loads DLLs from executable directory first, enabling attacker DLL substitution.
[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 40pts] Cmdline staging path pattern(s): powershell, \temp\: Command line arguments contain staging directory reference. Matched patterns: powershell, \temp\
[ 25pts] Spawned by high-risk parent (PID 4512, score 100): Process chain: this process was created by PID 4512 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution."
5224,SgrmBroker.exe,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
8044,CalculatorApp.,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
8060,ApplicationFra,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
6388,SystemSettings,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
7728,PhoneExperienc,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
6608,m365copilot_au,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
2768,OfficeClickToR,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
2476,WmiPrvSE.exe,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
